Name,Author,Price
Hamnet,Maggie O'Farrell,  £7.49
The Vanishing Half,Brit Bennett,  £7.49
A Song for the Dark Times,Ian Rankin,  £4.49
The Devil and the Dark Water,Stuart Turton,  £7.49
The Midnight Library,Matt Haig,  £7.49
The Mirror and the Light,Hilary Mantel,  £8.49
The Dinner Guest,B P Walter,  £7.49
Small Pleasures,Clare Chambers,  £7.49
Shadow and Bone,Leigh Bardugo,  £6.49
The Ratline,Philippe Sands,  £8.49
They Both Die at the End,Adam Silvera,  £6.49
Shuggie Bain,Douglas Stuart,£8.99
Harklights,Tim Tilley,  £6.99
Shuggie Bain,Douglas Stuart,  £7.49
The Song of Achilles,Madeline Miller,  £8.99
Where the Crawdads Sing,Delia Owens,  £7.49
LEGO ® Harry Potter Minifigures Series 2,,£3.49
Lego Looney Tunes Minifigures,,£3.49
Six of Crows,Leigh Bardugo,  £6.99
Lore,Alexandra Bracken,  £7.49
Heartstopper Volume Four,Alice Oseman,  £9.49
The Power of Geography,Tim Marshall,  £14.99
The Thursday Murder Club,Richard Osman,  £10.99
Home Stretch,Graham Norton,  £6.99
